ciudad,nombre,precio_adulto_cop,precio_chd_cop,rango_edad_chd,ponto_de_encontro,valor_taxas_cop,valor_seguro,observaciones,template_local
"Cartagena,Capri,510000,380000,""05-09"",""Portão 3 da Marina La Bodeguita, 07:30"",37500,""No informado"","""",""Os passageiros devem se apresentar no muelle La Bodeguita na porta 3 onde a equipe de Capri dará assistência no embarque"""
"Cartagena,Capri Premium,610000,320000,""05-09"",""Portão 3 da Marina La Bodeguita, 07:30"",37500,""No informado"","""",""Os passageiros devem se apresentar no muelle La Bodeguita na porta 3 onde a equipe de Capri dará assistência no embarque"""
"Cartagena,Pa'ue,520000,370000,""04-07"",""Portão 4 da Marina La Bodeguita, 07:30"",37500,""No informado"",""Reserva via link com acréscimo de 5.5% referente a taxas de cartão"",""Os passageiros devem se apresentar no muelle La Bodeguita na porta 4 onde a equipe de Pa'ue dará assistência no embarque"""
"Cartagena,Pao Pao,450000,""No informado"",""No informado"",""Portão 3 da Marina La Bodeguita, 07:20"",40500,""No informado"",""Apenas para maiores de 12 anos"",""Os passageiros devem se apresentar no muelle La Bodeguita na porta 3 onde a equipe de Pao Pao dará assistência no embarque"""
"Cartagena,Bora Bora Beach Club,450000,""No informado"",""No informado"",""Portão 3 da Marina La Bodeguita, 07:30"",40500,""No informado"",""Ideal a partir de 18 anos"",""Os passageiros devem se apresentar no muelle La Bodeguita na porta 3 onde a equipe de Bora Bora dará assistência no embarque"""
"Cartagena,Bora Bora VIP,540000,""No informado"",""No informado"",""Portão 3 da Marina La Bodeguita, 07:30"",40500,""No informado"",""Apenas para maiores de 18 anos"",""Os passageiros devem se apresentar no muelle La Bodeguita na porta 3 onde a equipe de Bora Bora dará assistência no embarque"""
"Cartagena,Top 3 Islas,550000,""No informado"",""No informado"",""Portão 3 da Marina La Bodeguita, 08:00"",40500,""No informado"","""",""Os passageiros devem se apresentar no muelle La Bodeguita na porta 3 onde a equipe de Bora Bora dará assistência no embarque"""
"Cartagena,Corona Island,850000,""No informado"",""No informado"",""Club Náutico de Manga, 08:00"",""No informado"",""No informado"",""Saídas a confirmar; maiores de 18 anos"",""Apresentar-se no Club Náutico de Cartagena no bairro de Manga no horário indicado onde a equipe de Corona dará suporte no embarque"""
"Cartagena,Rosário de Mar,470000,370000,""04-07"",""Portão 4 da Marina La Bodeguita, 08:00"",37500,""No informado"","""",""Os passageiros devem se apresentar no muelle La Bodeguita na porta 4 onde a equipe de Rosário de Mar dará assistência no embarque"""
"Cartagena,Bela,490000,340000,""03-10"",""Portão 1 da Marina La Bodeguita, 07:30"",40500,""No informado"","""",""Os passageiros devem se apresentar no muelle La Bodeguita na porta 1 onde a equipe de Bela dará assistência no embarque"""
